Country,Disease,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Ethiopia,Measles,"9,291","1,953","1,952","3,998","1,752","1,921","4,579","17,745","12,739","5,253","4,347","3,255","4,235","1,176","3,511","1,446","1,451",357,73,228,"3,332","2,366","1,660","5,329","1,603","1,113","1,586",562,"1,133","1,152","4,815",497,"1,836","4,169","7,575","4,832","3,760","66,544","9,843","5,866","10,527","9,784","10,690"
Fiji,Measles,,,,28,0,,5,,,,0,,0,1,0,0,136,,37,305,304,17,,,,828,39,414,39,425,969,,32,53,610,"1,075",385,152,827,313,902,"1,003",913
Finland,Measles,0,3,4,12,15,11,4,2,,2,,27,5,2,5,0,0,1,0,0,0,1,,,1,0,0,6,1,0,5,8,3,"1,032",129,635,741,614,729,"4,751","5,402","3,813","2,147"
France,Measles,15,16,240,"2,637","2,921",519,79,157,267,272,,"14,949","5,048","1,541",604,39,40,36,"4,448",,"5,185",,"10,000",,,"80,000","66,000","54,239","44,005","77,232","109,548","156,849",,,,,931,399,978,870,812,"1,132","1,244"
French Polynesia,Measles,0,0,0,,,,,,,,,0,0,0,0,0,,,,,,3,,13,0,518,387,7,95,21,22,31,30,82,18,40,43,"1,927",113,"1,015","1,187","1,281",379
Gabon,Measles,"1,293",134,9,2,1,"1,075","1,509",27,33,122,2,2,1,0,3,0,90,0,63,,110,"5,129",15,,,,70,,,958,"1,245",,738,"1,780",655,"2,074","6,826","5,222","7,234","4,324","1,747","2,306","1,641"
Gambia,Measles,58,0,,1,4,1,45,71,1,0,0,0,2,0,0,0,0,0,0,119,32,99,336,856,,"1,500",15,130,280,912,364,164,,,,,"3,997","1,628",,"1,372","1,566",262,284
Georgia,Measles,,5,20,"3,918","2,199",94,14,431,"3,188","7,872",31,64,22,23,56,44,334,"1,356","6,847",216,199,35,50,144,218,342,304,181,723,409,115,352,,,,,,,,,,,
Germany,Measles,,,76,514,543,929,326,"2,464",443,"1,771",166,"1,607",780,574,917,567,"2,307",778,121,779,"4,657","6,024",,,,,,,,,,,,45,17,189,199,568,"11,759","9,798","2,029","5,290","28,745"
Ghana,Measles,395,52,88,"1,274",34,19,32,23,124,319,"1,613",120,641,101,82,6,420,435,60,"1,939","12,289","13,476","23,068","15,987","23,335","37,261","34,273","40,276","34,821","34,641","39,933","17,135","32,246","19,997","40,456","24,781","11,099","64,517","40,179","36,561","79,636","38,476","82,684"
Greece,Measles,0,0,3,45,"2,291",968,0,1,1,3,3,40,149,2,1,2,,122,1,,5,12,56,69,66,136,"6,082",112,163,503,"3,448","1,371",245,534,"5,100","1,891","1,050","1,484","1,200","23,723","3,417","1,389","13,464"
Grenada,Measles,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,6,2,4,6,20,7,11,268,"1,713",9,53
Guam,Measles,,,,0,0,0,0,0,,0,0,1,0,0,0,0,,0,2,7,,0,0,1,0,0,0,0,228,25,4,62,1,3,2,2,6,12,104,3,9,6,7
Guatemala,Measles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,23,204,17,97,209,"8,802","2,413",182,400,"1,650","2,272","3,072","2,762","3,992","3,472","2,703"
Guinea,Measles,417,505,506,"4,555",482,"2,036",316,243,175,53,6,11,45,264,89,3,4,99,10,"2,497","2,151","7,408","11,294","18,004","9,170","10,170","10,292","1,085","2,372","5,228","1,617","6,708","12,756","4,152","3,353","7,357","2,592","2,969","4,396","8,856","15,038","11,397","8,552"
Guinea-Bissau,Measles,213,,22,60,28,11,0,153,1,0,0,0,26,0,12,1,0,0,"3,526","1,158",298,126,,472,,498,73,528,378,"1,707",842,"2,396",259,106,"1,103",174,"2,241","1,328",355,"3,218","1,613","2,096","1,332"
Guyana,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,11,917,22,15,87,294,20,41,7,464
Haiti,Measles,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,992,0,3,0,1,,,,,,"1,414",580,235,"3,130",269,"2,111","1,681",869,"1,064","2,502",507
Honduras,Measles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,13,58,95,"8,360","6,353","1,155","1,437",603,"6,476","5,028","1,168","2,446","5,857","4,188"
Hungary,Measles,0,0,0,23,14,36,0,0,0,1,2,5,0,1,0,0,1,2,0,0,0,20,1,1,23,24,12,4,11,33,14,16,29,,"1,103",30,17,20,98,124,"2,521","10,573","1,198"
Iceland,Measles,0,0,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,1,2,7,8,8,10,14,23,11,14,132,374,162,39,14,24,13
India,Measles,"40,967","5,700","5,604","10,430","19,474","12,032","17,250","30,168","26,530","8,285","3,305","33,634","31,458","56,188","44,258","41,144","64,185","36,711","55,443","47,147","40,044","51,780","38,835","21,013","33,990","61,004","47,072","37,494","50,518","50,391","71,798","77,859","89,612","165,771","161,379","252,940","155,076","161,216","190,881","129,639","146,196","202,054","114,036"
Indonesia,Measles,"7,704",394,524,"1,965","5,300","9,035","6,962","15,099","12,943","8,419","15,489","21,893","18,869","20,818","15,369","19,456","20,422","15,853","29,171","24,457","14,492","3,825","3,344","4,767","1,034","15,313","35,383","37,693","48,147","63,751","80,580","90,358","92,105","229,666","76,446",395,"1,136","9,458","18,947","4,670","25,152","33,106","28,935"
Iran,Measles,230,103,4,20,203,51,82,615,99,189,332,73,538,262,127,133,220,7,3,"11,644","9,554","9,582","11,874","4,137","2,869","3,901","2,329",263,506,"4,616","5,028","6,034","5,341","5,895","11,559","19,383","14,904","20,582","32,909","43,623","47,719","35,858","31,130"
Iraq,Measles,12,197,,"3,799",489,41,37,"1,433","1,317",669,15,15,492,"30,328","5,494",230,474,908,"9,081",,,"4,088",726,"9,920","43,735",708,256,"7,650","10,657","16,339","20,106","11,358","3,045","11,617","9,284","7,978","10,122","22,186","38,148","37,903","31,564","64,294","26,542"
Ireland,Measles,2,0,15,65,76,25,43,4,33,51,107,285,443,164,57,64,87,95,334,584,243,241,,147,204,185,228,235,"1,233","4,328",179,135,556,"1,248",936,201,451,"9,903","5,725","6,180","1,897","1,075","1,106"
